timestamps,values
2019/04/17 13:10:00,1.7467
2019/04/17 13:11:41,1.7467
2019/04/17 13:12:41,1.7467
2019/04/17 13:13:41,1.7467
2019/04/17 13:14:41,1.7467
2019/04/17 13:15:41,1.7467
2019/04/17 13:16:41,1.7467
2019/04/17 13:17:41,1.7467
2019/04/17 13:18:41,1.7467
2019/04/17 13:19:41,1.7467
2019/04/17 13:20:41,1.7467
2019/04/17 13:21:41,1.7467
2019/04/17 13:22:41,1.7467
2019/04/17 13:23:41,1.7467
2019/04/17 13:24:41,1.7467
2019/04/17 13:25:41,1.7467
2019/04/17 13:26:41,1.7467
2019/04/17 13:27:41,1.7467
2019/04/17 13:28:11,1.7467
2019/04/17 13:29:11,1.7467
2019/04/17 13:30:11,1.7467
2019/04/17 13:31:11,1.7467
2019/04/17 13:32:11,1.7467
2019/04/17 13:33:11,1.7467
2019/04/17 13:34:11,1.7467
2019/04/17 13:35:11,1.7467
2019/04/17 13:36:11,1.7467
2019/04/17 13:37:11,1.7467
2019/04/17 13:38:11,1.7467
2019/04/17 13:39:11,1.7467
2019/04/17 13:40:11,1.7467
2019/04/17 13:41:11,1.7467
2019/04/17 13:42:11,1.7467
2019/04/17 13:43:11,1.7467
2019/04/17 13:44:11,1.7467
2019/04/17 13:45:11,1.7467
2019/04/17 13:46:13,1.7467
2019/04/17 13:47:11,1.7467
2019/04/17 13:48:11,1.7467
2019/04/17 13:49:11,1.7467
2019/04/17 13:50:11,1.7467
2019/04/17 13:51:11,1.7467
2019/04/17 13:52:11,1.7467
2019/04/17 13:53:11,1.7467
2019/04/17 13:54:11,1.7467
2019/04/17 13:55:11,1.7467
2019/04/17 13:56:11,1.7467
2019/04/17 13:57:11,1.7467
2019/04/17 13:58:11,1.7467
2019/04/17 13:59:11,1.7467
2019/04/17 14:00:11,1.7467
2019/04/17 14:01:11,1.7467
2019/04/17 14:02:11,1.7467
2019/04/17 14:03:11,0.0
2019/04/17 14:04:11,1.8699
2019/04/17 14:05:11,1.8699
2019/04/17 14:06:11,1.8699
2019/04/17 14:07:11,1.8699
2019/04/17 14:08:11,1.8699
2019/04/17 14:09:11,1.712
2019/04/17 14:10:11,1.683
2019/04/17 14:11:11,1.683
2019/04/17 14:12:11,1.683
2019/04/17 14:13:11,1.683
2019/04/17 14:14:11,1.683
2019/04/17 14:15:11,1.683
2019/04/17 14:16:11,1.683
2019/04/17 14:17:11,1.683
2019/04/17 14:18:11,1.683
2019/04/17 14:19:11,1.683
2019/04/17 14:20:11,1.683
2019/04/17 14:21:11,1.683
2019/04/17 14:22:11,1.683
2019/04/17 14:23:11,1.683
2019/04/17 14:24:11,
2019/04/17 14:25:11,
2019/04/17 14:26:11,
2019/04/17 14:27:11,
2019/04/17 14:28:11,
2019/04/17 14:29:11,
2019/04/17 14:30:11,
2019/04/17 14:31:11,0.0
2019/04/17 14:32:11,0.0
2019/04/17 14:33:11,0.0
2019/04/17 14:34:11,
2019/04/17 14:35:11,
2019/04/17 14:36:11,
2019/04/17 14:37:11,
2019/04/17 14:38:11,
2019/04/17 14:38:53,
2019/04/17 14:39:53,
2019/04/17 14:40:53,
2019/04/17 14:41:53,
2019/04/17 14:42:53,
2019/04/17 14:43:53,
2019/04/17 14:44:53,1.924
2019/04/17 14:45:53,1.924
2019/04/17 14:46:53,1.924
2019/04/17 14:47:53,1.924
2019/04/17 14:48:53,1.924
2019/04/17 14:49:53,1.924
2019/04/17 14:50:53,1.924
2019/04/17 14:51:53,1.924
2019/04/17 14:52:53,1.924
2019/04/17 14:53:53,1.924
2019/04/17 14:54:53,1.924
2019/04/17 14:55:53,1.924
2019/04/17 14:56:53,1.924
2019/04/17 14:57:53,1.924
2019/04/17 14:58:53,1.924
2019/04/17 14:59:12,1.924
2019/04/17 15:00:12,1.924
2019/04/17 15:01:12,1.924
2019/04/17 15:02:12,1.924
2019/04/17 15:03:12,1.924
2019/04/17 15:04:12,1.924
2019/04/17 15:05:12,1.924
2019/04/17 15:06:12,1.924
2019/04/17 15:07:12,1.924
2019/04/17 15:08:12,1.924
2019/04/17 15:09:12,1.924
2019/04/17 15:10:12,1.924
2019/04/17 15:11:12,1.924
2019/04/17 15:12:12,1.924
2019/04/17 15:13:12,1.924
2019/04/17 15:14:12,1.924
2019/04/17 15:15:12,1.924
2019/04/17 15:16:12,1.924
2019/04/17 15:17:12,1.924
2019/04/17 15:18:12,1.924
2019/04/17 15:19:12,1.924
2019/04/17 15:20:12,1.924
2019/04/17 15:21:12,1.924
2019/04/17 15:22:12,1.924
2019/04/17 15:23:12,1.924
2019/04/17 15:24:12,1.924
2019/04/17 15:25:12,1.924
2019/04/17 15:26:12,1.924
2019/04/17 15:27:12,1.924
2019/04/17 15:28:12,1.924
2019/04/17 15:29:12,1.924
2019/04/17 15:30:12,1.924
2019/04/17 15:31:12,1.924
2019/04/17 15:32:12,1.924
2019/04/17 15:33:12,1.924
2019/04/17 15:34:12,
2019/04/17 15:35:12,
2019/04/17 15:36:12,
2019/04/17 15:37:12,
2019/04/17 15:38:12,
2019/04/17 15:39:12,
2019/04/17 15:40:12,
2019/04/17 15:41:12,
2019/04/17 15:42:12,
2019/04/17 15:43:12,
2019/04/17 15:44:12,
2019/04/17 15:45:12,
2019/04/17 15:46:12,
2019/04/17 15:47:12,
2019/04/17 15:48:12,
2019/04/17 15:49:12,
2019/04/17 15:50:12,
2019/04/17 15:51:12,
2019/04/17 15:52:12,
2019/04/17 15:53:12,
2019/04/17 15:54:12,
2019/04/17 15:55:12,
2019/04/17 15:56:12,
2019/04/17 15:57:12,
2019/04/17 15:58:12,
2019/04/17 15:59:12,
2019/04/17 16:00:12,
2019/04/17 16:01:12,
2019/04/17 16:02:12,
2019/04/17 16:03:12,
2019/04/17 16:04:12,
2019/04/17 16:05:12,
2019/04/17 16:06:12,
2019/04/17 16:07:15,
2019/04/17 16:08:12,
2019/04/17 16:09:12, 1.0000
