timestamps,values
2018/12/10 17:15:00,266.0
2018/12/10 17:18:00,145.9
2018/12/10 17:21:00,183.1
2018/12/10 17:24:00,119.3
2018/12/10 17:27:00,180.3
2018/12/10 17:30:00,168.5
2018/12/10 17:33:00,231.8
2018/12/10 17:36:00,224.5
2018/12/10 17:39:00,192.8
2018/12/10 17:42:00,122.9
2018/12/10 17:45:00,336.5
2018/12/10 17:48:00,185.9
2018/12/10 17:51:00,194.3
2018/12/10 17:54:00,149.5
2018/12/10 17:57:00,210.1
2018/12/10 18:00:00,273.3
2018/12/10 18:03:00,191.4
2018/12/10 18:06:00,287.0
2018/12/10 18:09:00,226.0
2018/12/10 18:12:00,303.6
2018/12/10 18:15:00,289.9
2018/12/10 18:18:00,421.6
2018/12/10 18:21:00,264.5
2018/12/10 18:24:00,342.3
2018/12/10 18:27:00,339.7
2018/12/10 18:30:00,440.4
2018/12/10 18:33:00,315.9
2018/12/10 18:36:00,439.3
2018/12/10 18:39:00,401.3
2018/12/10 18:42:00,437.4
2018/12/10 18:45:00,575.5
2018/12/10 18:48:00,407.6
2018/12/10 18:51:00,682.0
2018/12/10 18:54:00,475.3
2018/12/10 18:57:00,581.3
2018/12/10 19:00:00,646.9
